doc_id,court_code,judgment_code,justice_kind,category_code,cause_num,adjudication_date,receipt_date,judge,doc_url,status,date_publ
71360277,1007,5.0,2.0,2002.0,361/1793/17,2017-12-28 00:00:00+02,2018-01-02 00:00:00+02,Телепенько А. Д.,http://od.reyestr.court.gov.ua/files/35/28e08fb611bb27c776892599b1c4c5c8.rtf,1,2018-01-04 00:00:00+02
71365045,1013,5.0,2.0,2002.0,369/8/13-к,2016-06-01 00:00:00+03,2018-01-02 00:00:00+02,Линник В. Я.,http://od.reyestr.court.gov.ua/files/35/2bcc09c191f7bc1a5c1d8be8f0c42f71.rtf,1,2018-01-04 00:00:00+02
71365552,2304,1.0,2.0,2002.0,693/469/17,2017-12-28 00:00:00+02,2018-01-02 00:00:00+02,Коцюбинська Ю. Д.,http://od.reyestr.court.gov.ua/files/35/47cc5f9f89cf55ece502f119926c73ee.rtf,1,2018-01-04 00:00:00+02
71371245,290,5.0,2.0,2002.0,140/1876/15-к,2017-12-26 00:00:00+02,2018-01-02 00:00:00+02,Бурденюк С. І.,http://od.reyestr.court.gov.ua/files/35/45daf992f57c70a59cdd57f318c7aaa5.rtf,1,2018-01-04 00:00:00+02
71353002,804,5.0,2.0,2002.0,318/2335/17,2017-11-09 00:00:00+02,2018-01-02 00:00:00+02,Потапова О. М.,http://od.reyestr.court.gov.ua/files/35/ddb1dae32709891fa1800679de24dcc5.rtf,1,2018-01-04 00:00:00+02
71356767,2218,5.0,2.0,2002.0,686/9504/16-к,2017-09-27 00:00:00+03,2018-01-02 00:00:00+02,Трембач О. Л.,http://od.reyestr.court.gov.ua/files/35/2280de5f2c0b6021ff8bfca3c9da09d5.rtf,1,2018-01-04 00:00:00+02
71359354,436,5.0,2.0,2002.0,206/11/17,2017-12-28 00:00:00+02,2018-01-02 00:00:00+02,Грицаюк Н. М.,http://od.reyestr.court.gov.ua/files/35/b55de616a7e6e691db7623ccecb270ec.rtf,1,2018-01-04 00:00:00+02
71359376,436,5.0,2.0,2002.0,206/11/17,2017-12-28 00:00:00+02,2018-01-02 00:00:00+02,Грицаюк Н. М.,http://od.reyestr.court.gov.ua/files/35/1ca5c4e1c41f071400fe0ea277f3a682.rtf,1,2018-01-04 00:00:00+02
71353902,828,5.0,2.0,2002.0,330/1392/17,2017-12-14 00:00:00+02,2018-01-02 00:00:00+02,Куценко О. О.,http://od.reyestr.court.gov.ua/files/35/f2df130b936280aacfba3b802a1502ac.rtf,1,2018-01-04 00:00:00+02
71352695,790,5.0,2.0,2002.0,308/13484/14,2017-12-28 00:00:00+02,2018-01-02 00:00:00+02,Стан І. В.,http://od.reyestr.court.gov.ua/files/35/85d8485ee8430ef54c28a9ef314ea04c.rtf,1,2018-01-04 00:00:00+02
71366513,2602,5.0,2.0,2002.0,753/19507/17,2017-10-24 00:00:00+03,2018-01-02 00:00:00+02,Щасна Т. В.,http://od.reyestr.court.gov.ua/files/35/bd6dd04e57372952987a750047251332.rtf,1,2018-01-04 00:00:00+02
71366935,2604,5.0,2.0,2002.0,755/13578/15-к,2017-12-19 00:00:00+02,2018-01-02 00:00:00+02,Федосєєв С. В.,http://od.reyestr.court.gov.ua/files/35/de61ba6786a983c8495b28a4c030ff26.rtf,1,2018-01-04 00:00:00+02
71366880,2602,5.0,2.0,2002.0,753/19507/17,2017-12-29 00:00:00+02,2018-01-02 00:00:00+02,Щасна Т. В.,http://od.reyestr.court.gov.ua/files/35/b4955d779f369bd86480ae87952c88fc.rtf,1,2018-01-04 00:00:00+02
71389451,541,1.0,2.0,2002.0,237/1268/16-к,2017-12-30 00:00:00+02,2018-01-02 00:00:00+02,Пантелєєв Д. Г.,http://od.reyestr.court.gov.ua/files/35/cdcb16c2cac7e717ef65c59e4bafd791.rtf,1,2018-01-04 00:00:00+02
71383551,490,5.0,2.0,2002.0,173/1083/15-к,2017-11-23 00:00:00+02,2018-01-02 00:00:00+02,Коваленко В. Д.,http://od.reyestr.court.gov.ua/files/35/99bb46f9ecf20722038b60897f012fce.rtf,1,2018-01-04 00:00:00+02
71385521,2025,5.0,2.0,2002.0,629/5132/17,2017-12-29 00:00:00+02,2018-01-02 00:00:00+02,Каращук Т. О.,http://od.reyestr.court.gov.ua/files/35/2bd47f39f5b4d8ef2f8f78ef8e9a9d25.rtf,1,2018-01-04 00:00:00+02
71387076,2090,5.0,2.0,2002.0,642/7146/16-к,2017-12-18 00:00:00+02,2018-01-02 00:00:00+02,Грошева О. Ю.,http://od.reyestr.court.gov.ua/files/35/3bc98c8defa9f4482fd997deedab73ab.rtf,1,2018-01-04 00:00:00+02
71391319,1324,5.0,2.0,2002.0,457/1/18,2018-01-02 00:00:00+02,2018-01-02 00:00:00+02,Грицьків В. Т.,http://od.reyestr.court.gov.ua/files/35/d184bcf84d80f52cf0053a61a55d6efb.rtf,1,2018-01-04 00:00:00+02
71376956,2125,5.0,2.0,2002.0,658/278/15-к,2017-04-11 00:00:00+03,2018-01-02 00:00:00+02,Зубов О. С.,http://od.reyestr.court.gov.ua/files/35/9914a1e99e8fcbfde550124e8b96a878.rtf,1,2018-01-04 00:00:00+02
